artifact_id,artifact_path,dataset,experiment_type,evidence_level,exists,uses_raw_data,uses_external_api,uses_model_download,num_train_examples,num_test_examples,seed,policy_model,feature_set,claim_allowed,supports_final_claim,notes
final_report,FINAL_REPORT.md,unknown,document,final_claim,True,False,False,False,,,,,,True,False,"final report, figure, or claim artifact"
readme,README.md,unknown,document,final_claim,True,False,False,False,,,,,,True,False,"final report, figure, or claim artifact"
final_presentation_outline,FINAL_PRESENTATION_OUTLINE.md,unknown,document,final_claim,True,False,False,False,,,,,,True,False,"final report, figure, or claim artifact"
final_slides_markdown,FINAL_SLIDES.md,unknown,document,final_claim,True,False,False,False,,,,,,True,False,"final report, figure, or claim artifact"
final_defense_qa,FINAL_DEFENSE_QA.md,unknown,document,final_claim,True,False,False,False,,,,,,True,False,"final report, figure, or claim artifact"
final_results_summary,FINAL_RESULTS_SUMMARY.md,unknown,document,final_claim,True,False,False,False,,,,,,True,False,"final report, figure, or claim artifact"
hotpot_retrieval_policy_summary,outputs/results/retrieval_policy_summary.csv,hotpot,main_result,tiny_realdata,True,True,False,False,,,42,,,False,False,small or non-final real-data run
hotpot_llm_policy_summary,outputs/results/llm_retrieval_policy_summary.csv,hotpot,main_result,api_pilot,True,True,True,False,,,42,auto,,False,False,API-backed pilot or semantic analysis only
hotpot_reader_realdata_summary,outputs/results/hotpot_reader_realdata_summary.csv,hotpot,reader_smoke,tiny_realdata,True,True,False,False,,,,,,False,False,small or non-final real-data run
hotpot_reader_realdata_200_summary,outputs/results/hotpot_reader_realdata_200_summary.csv,hotpot,reader_smoke,tiny_realdata,True,True,False,False,,,,,,False,False,small or non-final real-data run
nq_reader_realdata_summary,outputs/results/nq_reader_realdata_summary.csv,nq,reader_smoke,tiny_realdata,True,True,False,False,,,,,,False,False,small or non-final real-data run
hotpot_gemini_pilot_summary,outputs/results/hotpot_gemini_pilot_summary.csv,hotpot,api_pilot,api_pilot,True,True,True,False,,,42,,,False,False,API-backed pilot or semantic analysis only
hotpot_gemini_repeated_pilot_summary,outputs/results/hotpot_gemini_repeated_pilot_summary.csv,hotpot,api_pilot,api_pilot,True,True,True,False,,,,,,False,False,API-backed pilot or semantic analysis only
