method,mode,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,rewrite_tokens,queries,top_docs,gold_docs
Gemini rewrite-all,rewrite,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,0.5,1.0,0.6131471927654584,-0.040000000000000036,1.04,1,4,Eric S. Pistorius business,Eric S. Pistorius | Commissioner v. Flowers | Peter Deegan | Loretta Lynch | North Carolina Attorney General,Circuit court | Eric S. Pistorius
Gemini decompose,decompose,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,1.0,1.0,1.0,0.3999999999999999,1.1,2,10,Eric S. Pistorius career after attorney || [Business Name] business concept,Eric S. Pistorius | Circuit court | Peter Deegan | Commissioner v. Flowers | Loretta Lynch,Circuit court | Eric S. Pistorius
Gemini rewrite-all,rewrite,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,1.0,1.0,1.0,0.42999999999999994,1.07,1,7,Lingnan Fine Arts Museum port city north,"Lingnan Fine Arts Museum | Taipei | Postawele | Synkowce | Antolin, Biała Podlaska County",Lingnan Fine Arts Museum | Taipei
Gemini decompose,decompose,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,1.0,1.0,1.0,0.3899999999999999,1.11,2,11,Lingnan Fine Arts Museum || Port cities north Lingnan Fine Arts Museum,"Lingnan Fine Arts Museum | Taipei | Postawele | Synkowce | Antolin, Biała Podlaska County",Lingnan Fine Arts Museum | Taipei
Gemini rewrite-all,rewrite,5a8778d25542994846c1cd89,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,0.5,1.0,0.6131471927654584,-0.050000000000000044,1.05,1,4,Stefan Edberg Édouard Roger-Vasselin,Édouard Roger-Vasselin | 2011 BNP Paribas Primrose Bordeaux – Doubles | 2012 Trophée des Alpilles – Doubles | 2016 Moselle Open – Doubles | 2014 Hall of Fame Tennis Championships – Doubles,Stefan Edberg | Édouard Roger-Vasselin
Gemini decompose,decompose,5a8778d25542994846c1cd89,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,1.0,1.0,1.0,0.42999999999999994,1.07,2,6,Stefan Edberg titles || Édouard Roger-Vasselin titles,Stefan Edberg | Édouard Roger-Vasselin | 2011 BNP Paribas Primrose Bordeaux – Doubles | 2012 Trophée des Alpilles – Doubles | 2016 Moselle Open – Doubles,Stefan Edberg | Édouard Roger-Vasselin
Gemini rewrite-all,rewrite,5a77897f55429949eeb29edc," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",0.5,1.0,0.6131471927654584,-0.050000000000000044,1.05,1,5,Jason Regler flashing wristbands instrument,Xyloband | Talk Dirty (Jason Derulo song) | Octobass | Applause (Lady Gaga song) | Everyday (Ariana Grande song),Fix You | Xyloband
Gemini decompose,decompose,5a77897f55429949eeb29edc," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",0.5,1.0,0.6131471927654584,-0.10000000000000009,1.1,2,10,Jason Regler flashing wristbands origin || Jason Regler Xylobands instrument inspiration,Xyloband | Talk Dirty (Jason Derulo song) | Octobass | Applause (Lady Gaga song) | Everyday (Ariana Grande song),Fix You | Xyloband
Gemini rewrite-all,rewrite,5ae0132d55429925eb1afc00, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,1.0,1.0,1.0,0.41999999999999993,1.08,1,10,The Soul of Buddha 1918 film filming location western terminus,"The Soul of Buddha | Fort Lee, New Jersey | The Grain of Dust (1918 film) | Barbed Wire (1927 film) | Old Heidelberg (1915 film)","Fort Lee, New Jersey | The Soul of Buddha"
Gemini decompose,decompose,5ae0132d55429925eb1afc00, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,1.0,1.0,1.0,0.42999999999999994,1.07,2,9,The Soul of Buddha (1918 film) || boroughs western terminus,"The Soul of Buddha | Fort Lee, New Jersey | The Grain of Dust (1918 film) | Barbed Wire (1927 film) | Old Heidelberg (1915 film)","Fort Lee, New Jersey | The Soul of Buddha"
