split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
train,Vanilla BM25,keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,Rewrite-all keyword,keyword_compress,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,5,1.5,number beginning sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-7837928303999170875 | nq:-4843437099290518220,nq:8818050291845026380
train,Rewrite-all entity expansion,entity_expand,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,5,1.5,number beginning sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-7837928303999170875 | nq:-4843437099290518220,nq:8818050291845026380
train,Train-best fixed rewrite,keyword_compress,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,5,1.5,number beginning sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-7837928303999170875 | nq:-4843437099290518220,nq:8818050291845026380
train,Selective bandit,keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,Oracle best action,keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,Vanilla BM25,keep,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,9,0.0,who plays sheldon's mother on the big bang theory,nq:7996383088631167889 | nq:-3366153456070660329 | nq:2161753529169331826 | nq:-6966959898445658330 | nq:5299445249075474807,nq:5262117656875370095
train,Rewrite-all keyword,keyword_compress,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,7,0.0,plays sheldon s mother big bang theory,nq:7996383088631167889 | nq:-6966959898445658330 | nq:-8201769409989966317 | nq:7242602448090583615 | nq:8703310985700123593,nq:5262117656875370095
train,Rewrite-all entity expansion,entity_expand,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,7,0.0,plays sheldon s mother big bang theory,nq:7996383088631167889 | nq:-6966959898445658330 | nq:-8201769409989966317 | nq:7242602448090583615 | nq:8703310985700123593,nq:5262117656875370095
train,Train-best fixed rewrite,keyword_compress,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,7,0.0,plays sheldon s mother big bang theory,nq:7996383088631167889 | nq:-6966959898445658330 | nq:-8201769409989966317 | nq:7242602448090583615 | nq:8703310985700123593,nq:5262117656875370095
train,Selective bandit,keyword_compress,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,7,0.0,plays sheldon s mother big bang theory,nq:7996383088631167889 | nq:-6966959898445658330 | nq:-8201769409989966317 | nq:7242602448090583615 | nq:8703310985700123593,nq:5262117656875370095
train,Oracle best action,keep,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,9,0.0,who plays sheldon's mother on the big bang theory,nq:7996383088631167889 | nq:-3366153456070660329 | nq:2161753529169331826 | nq:-6966959898445658330 | nq:5299445249075474807,nq:5262117656875370095
train,Vanilla BM25,keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-1546147308403024577 | nq:7714908170965184772 | nq:2044173796998267302 | nq:629947557016149979,nq:-7837928303999170875
train,Rewrite-all keyword,keyword_compress,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,8,1.5,explain happens extra quarter day each calendar year,nq:-7837928303999170875 | nq:629947557016149979 | nq:2044173796998267302 | nq:6361206394302458673 | nq:1172277683662974732,nq:-7837928303999170875
train,Rewrite-all entity expansion,entity_expand,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,8,1.5,explain happens extra quarter day each calendar year,nq:-7837928303999170875 | nq:629947557016149979 | nq:2044173796998267302 | nq:6361206394302458673 | nq:1172277683662974732,nq:-7837928303999170875
train,Train-best fixed rewrite,keyword_compress,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,8,1.5,explain happens extra quarter day each calendar year,nq:-7837928303999170875 | nq:629947557016149979 | nq:2044173796998267302 | nq:6361206394302458673 | nq:1172277683662974732,nq:-7837928303999170875
train,Selective bandit,keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-1546147308403024577 | nq:7714908170965184772 | nq:2044173796998267302 | nq:629947557016149979,nq:-7837928303999170875
train,Oracle best action,keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-1546147308403024577 | nq:7714908170965184772 | nq:2044173796998267302 | nq:629947557016149979,nq:-7837928303999170875
train,Vanilla BM25,keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:7714886640662001831 | nq:-3741918003226406702,nq:-8650104853556692961
train,Rewrite-all keyword,keyword_compress,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,4,1.5,name manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:-3741918003226406702 | nq:7714886640662001831,nq:-8650104853556692961
train,Rewrite-all entity expansion,entity_expand,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,4,1.5,name manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:-3741918003226406702 | nq:7714886640662001831,nq:-8650104853556692961
train,Train-best fixed rewrite,keyword_compress,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,4,1.5,name manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:-3741918003226406702 | nq:7714886640662001831,nq:-8650104853556692961
train,Selective bandit,keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:7714886640662001831 | nq:-3741918003226406702,nq:-8650104853556692961
train,Oracle best action,keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:7714886640662001831 | nq:-3741918003226406702,nq:-8650104853556692961
train,Vanilla BM25,keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:4826133206438959478 | nq:1537244195687008584 | nq:-8779917413777030409,nq:-5248648953323441399
train,Rewrite-all keyword,keyword_compress,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,6,1.5,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:1537244195687008584 | nq:4826133206438959478 | nq:-8779917413777030409,nq:-5248648953323441399
train,Rewrite-all entity expansion,entity_expand,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,6,1.5,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:1537244195687008584 | nq:4826133206438959478 | nq:-8779917413777030409,nq:-5248648953323441399
train,Train-best fixed rewrite,keyword_compress,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,6,1.5,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:1537244195687008584 | nq:4826133206438959478 | nq:-8779917413777030409,nq:-5248648953323441399
train,Selective bandit,keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:4826133206438959478 | nq:1537244195687008584 | nq:-8779917413777030409,nq:-5248648953323441399
train,Oracle best action,keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:4826133206438959478 | nq:1537244195687008584 | nq:-8779917413777030409,nq:-5248648953323441399
train,Vanilla BM25,keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5852144795663739569 | nq:-8074993547733090370 | nq:-7275272659885289884 | nq:-2209109666131627285,nq:-3875958317236683310
train,Rewrite-all keyword,keyword_compress,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,4,1.5,battles lexington concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:1196743193353431992 | nq:4296988594167310929 | nq:7996383088631167889,nq:-3875958317236683310
train,Rewrite-all entity expansion,entity_expand,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,4,1.5,battles lexington concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:1196743193353431992 | nq:4296988594167310929 | nq:7996383088631167889,nq:-3875958317236683310
train,Train-best fixed rewrite,keyword_compress,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,4,1.5,battles lexington concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:1196743193353431992 | nq:4296988594167310929 | nq:7996383088631167889,nq:-3875958317236683310
train,Selective bandit,keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5852144795663739569 | nq:-8074993547733090370 | nq:-7275272659885289884 | nq:-2209109666131627285,nq:-3875958317236683310
train,Oracle best action,keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5852144795663739569 | nq:-8074993547733090370 | nq:-7275272659885289884 | nq:-2209109666131627285,nq:-3875958317236683310
train,Vanilla BM25,keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:-3716243111645718342 | nq:2236521535238054703 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Rewrite-all keyword,keyword_compress,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,5,1.5,wrote song mary little lamb,nq:-1892743779381029561 | nq:-1773607187248198254 | nq:2236521535238054703 | nq:-7371522032295337009 | nq:-3716243111645718342,nq:-1892743779381029561
train,Rewrite-all entity expansion,entity_expand,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,5,1.5,wrote song mary little lamb,nq:-1892743779381029561 | nq:-1773607187248198254 | nq:2236521535238054703 | nq:-7371522032295337009 | nq:-3716243111645718342,nq:-1892743779381029561
train,Train-best fixed rewrite,keyword_compress,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,5,1.5,wrote song mary little lamb,nq:-1892743779381029561 | nq:-1773607187248198254 | nq:2236521535238054703 | nq:-7371522032295337009 | nq:-3716243111645718342,nq:-1892743779381029561
train,Selective bandit,keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:-3716243111645718342 | nq:2236521535238054703 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Oracle best action,keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:-3716243111645718342 | nq:2236521535238054703 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Vanilla BM25,keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-8837653404749291736 | nq:818002923934435137 | nq:-6966959898445658330,nq:7621889567969940898
train,Rewrite-all keyword,keyword_compress,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,6,1.5,primary reason creation federal whistleblower statutes,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-1545150092700302635 | nq:4306749566186588785 | nq:9125206758598146020,nq:7621889567969940898
train,Rewrite-all entity expansion,entity_expand,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,6,1.5,primary reason creation federal whistleblower statutes,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-1545150092700302635 | nq:4306749566186588785 | nq:9125206758598146020,nq:7621889567969940898
train,Train-best fixed rewrite,keyword_compress,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,6,1.5,primary reason creation federal whistleblower statutes,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-1545150092700302635 | nq:4306749566186588785 | nq:9125206758598146020,nq:7621889567969940898
train,Selective bandit,keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-8837653404749291736 | nq:818002923934435137 | nq:-6966959898445658330,nq:7621889567969940898
train,Oracle best action,keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-8837653404749291736 | nq:818002923934435137 | nq:-6966959898445658330,nq:7621889567969940898
train,Vanilla BM25,keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:-546696194238868913 | nq:4793332266598034685,nq:-551602452576511763
train,Rewrite-all keyword,keyword_compress,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,10,1.5,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:4793332266598034685 | nq:-546696194238868913,nq:-551602452576511763
train,Rewrite-all entity expansion,entity_expand,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,10,1.5,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:4793332266598034685 | nq:-546696194238868913,nq:-551602452576511763
train,Train-best fixed rewrite,keyword_compress,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,10,1.5,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:4793332266598034685 | nq:-546696194238868913,nq:-551602452576511763
train,Selective bandit,keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:-546696194238868913 | nq:4793332266598034685,nq:-551602452576511763
train,Oracle best action,keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:-546696194238868913 | nq:4793332266598034685,nq:-551602452576511763
train,Vanilla BM25,keep,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,8,1.5,where was the statue of liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-429491976516694064 | nq:-546696194238868913 | nq:-3716243111645718342,nq:-2839661864110242676
train,Rewrite-all keyword,keyword_compress,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,4,1.5,statue liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-7007495432386074718 | nq:-429491976516694064 | nq:4627523927977896713,nq:-2839661864110242676
train,Rewrite-all entity expansion,entity_expand,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,4,1.5,statue liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-7007495432386074718 | nq:-429491976516694064 | nq:4627523927977896713,nq:-2839661864110242676
train,Train-best fixed rewrite,keyword_compress,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,4,1.5,statue liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-7007495432386074718 | nq:-429491976516694064 | nq:4627523927977896713,nq:-2839661864110242676
