dataset,split,qid,question,gold_answer,retrieval_method,retrieval_action,reader,predicted_answer,exact_match,f1,recall_at_5,mrr,ndcg_at_5,retrieval_calls,retrieval_reward,top_docs,gold_docs,missing_doc_count,claim_scope
hotpot,test,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",Emilia Fox,Vanilla BM25,bm25_keep,gemini,Emilia Fox,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Flashbacks of a Fool | Emilia Fox | Blandford United F.C. | John Pearce (handballer) | Bryanston,Emilia Fox | Flashbacks of a Fool,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",Emilia Fox,Train-best retrieval action,hybrid_keyword,gemini,Emilia Fox,1.0,1.0,1.0,1.0,1.0,2.0,1.47,Flashbacks of a Fool | Emilia Fox | Blandford United F.C. | Bryanston | John Pearce (handballer),Emilia Fox | Flashbacks of a Fool,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",Emilia Fox,Selective retrieval policy,bm25_keep,gemini,Emilia Fox,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Flashbacks of a Fool | Emilia Fox | Blandford United F.C. | John Pearce (handballer) | Bryanston,Emilia Fox | Flashbacks of a Fool,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Vanilla BM25,bm25_keep,gemini,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | MV Arctic Sea | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Train-best retrieval action,hybrid_keyword,gemini,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,2.0,1.47,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | František Sisr | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Selective retrieval policy,dense_keep,gemini,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Justin Posey | Laurens Sweeck,Missing You (2013 TV series) | Yoo Seung-ho,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Vanilla BM25,bm25_keep,gemini,James Lapine,0.0,0.8,1.0,1.0,0.8503449055347546,1.0,1.5,Six by Sondheim | Stephen Sondheim | Manjeet Kullar | Michael Flessas | James Lapine,James Lapine | Six by Sondheim,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Train-best retrieval action,hybrid_keyword,gemini,James Lapine,0.0,0.8,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Selective retrieval policy,hybrid_keyword,gemini,James Lapine,0.0,0.8,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Vanilla BM25,bm25_keep,gemini,O.T. Genasis,1.0,1.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Cut It (song) | Shoulder Lean | Nobody Does It Better (Nate Dogg song) | Lloyd Banks,O.T. Genasis | Young Dolph,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Train-best retrieval action,hybrid_keyword,gemini,O.T. Genasis,1.0,1.0,0.5,1.0,0.6131471927654584,2.0,0.97,Young Dolph | Cut It (song) | Peewee Longway | Shoulder Lean | McGruff (rapper),O.T. Genasis | Young Dolph,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Selective retrieval policy,dense_keep,gemini,O.T. Genasis,1.0,1.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Shoulder Lean | McGruff (rapper) | Peewee Longway | Cut It (song),O.T. Genasis | Young Dolph,0,api_pilot_policy_routed_gemini_reader
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Vanilla BM25,bm25_keep,gemini,BBC Radio 1,0.0,0.5,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,api_pilot_policy_routed_gemini_reader
