dataset,split,qid,question,gold_answer,retrieval_method,retrieval_action,reader,predicted_answer,exact_match,f1,recall_at_5,mrr,ndcg_at_5,retrieval_calls,retrieval_reward,top_docs,gold_docs,missing_doc_count,claim_scope
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Vanilla BM25,bm25_keep,gemini,16,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:5262336130893308488 | nq:-1567826404295558649 | nq:7937545581647887851,nq:-7008352380240766023,0,api_pilot_policy_routed_gemini_reader
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Train-best retrieval action,dense_keep,gemini,16,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:7937545581647887851,nq:-7008352380240766023,0,api_pilot_policy_routed_gemini_reader
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Selective retrieval policy,dense_keyword,gemini,16,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:8049569980651777380,nq:-7008352380240766023,0,api_pilot_policy_routed_gemini_reader
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,api_pilot_policy_routed_gemini_reader
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:6355352627831482364 | nq:-119638173687275454 | nq:7199935063232716100 | nq:2329833534419074937,nq:-7657379080399040683,0,api_pilot_policy_routed_gemini_reader
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Selective retrieval policy,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,api_pilot_policy_routed_gemini_reader
nq,test,3860011458309154397,list of american league and national league teams,,Vanilla BM25,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3860011458309154397 | nq:-6939993637603870565 | nq:-119638173687275454 | nq:-5117382453861077400 | nq:-1651199256174655645,nq:3860011458309154397,0,api_pilot_policy_routed_gemini_reader
nq,test,3860011458309154397,list of american league and national league teams,,Train-best retrieval action,dense_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3860011458309154397 | nq:-6939993637603870565 | nq:-119638173687275454 | nq:9157704670468415290 | nq:-1725899096851471109,nq:3860011458309154397,0,api_pilot_policy_routed_gemini_reader
nq,test,3860011458309154397,list of american league and national league teams,,Selective retrieval policy,bm25_keep,gemini,unknown,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:3860011458309154397 | nq:-6939993637603870565 | nq:-119638173687275454 | nq:-5117382453861077400 | nq:-1651199256174655645,nq:3860011458309154397,0,api_pilot_policy_routed_gemini_reader
nq,test,1172277683662974732,where did hasta la vista baby come from,Arnold Schwarzenegger's title character from the 1991 science fiction thriller film Terminator 2: Judgment Day,Vanilla BM25,bm25_keep,gemini,"The 1991 film Terminator 2: Judgment Day and the 1987 song ""Looking for a New Love"".",0.0,0.4444444444444445,1.0,1.0,1.0,1.0,1.5,nq:1172277683662974732 | nq:5758694170037504500 | nq:5076821131444764956 | nq:-546696194238868913 | nq:6249949001034298351,nq:1172277683662974732,0,api_pilot_policy_routed_gemini_reader
