split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
train,Vanilla BM25,bm25_keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,24,1.5,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,BM25 keyword,bm25_keyword,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,12,1.5,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Dwarka | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Dense original,dense_keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,0.5,1.0,0.6131471927654584,0.0,1,24,1.0,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Mukachevo Radar Station | Radar Station B-71 | Sevastopol Radar Station | No. 227 Radar Station RAAF,Dwarka | Iqbal F. Qadir
train,Dense keyword,dense_keyword,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,0.5,1.0,0.6131471927654584,0.0,1,12,1.0,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Mukachevo Radar Station | Radar Station B-71 | Sevastopol Radar Station | No. 227 Radar Station RAAF,Dwarka | Iqbal F. Qadir
train,Hybrid original,hybrid_keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,0.9197207891481876,0.03,2,24,1.47,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Mukachevo Radar Station | Dwarka | NATO Ouvrage &quot;G&quot; | Radar Station B-71,Dwarka | Iqbal F. Qadir
train,Hybrid keyword,hybrid_keyword,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,0.9197207891481876,0.03,2,12,1.47,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Mukachevo Radar Station | Dwarka | Sevastopol Radar Station | Radar Station B-71,Dwarka | Iqbal F. Qadir
train,Train-best retrieval action,hybrid_keyword,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,0.9197207891481876,0.03,2,12,1.47,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Mukachevo Radar Station | Dwarka | Sevastopol Radar Station | Radar Station B-71,Dwarka | Iqbal F. Qadir
train,Selective retrieval policy,bm25_keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,24,1.5,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Oracle retrieval action,bm25_keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,24,1.5,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Vanilla BM25,bm25_keep,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,0.5,1.0,0.6131471927654584,0.0,1,11,1.0,When did the park at which Tivolis Koncertsal is located open?,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli Two | Tivoli One,Tivoli Gardens | Tivolis Koncertsal
train,BM25 keyword,bm25_keyword,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,0.5,1.0,0.6131471927654584,0.0,1,5,1.0,park tivolis koncertsal located open,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli Two | Tivoli One,Tivoli Gardens | Tivolis Koncertsal
