method,action,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,queries,top_docs,gold_docs
Dense original,keep,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",0.5,1.0,0.6131471927654584,1.0,0.0,1,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",Flashbacks of a Fool | Bryanston | Bryanston School | Blandford United F.C. | Blandford St Mary,Emilia Fox | Flashbacks of a Fool
Dense keyword,keyword_compress,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",0.5,1.0,0.6131471927654584,1.0,0.0,1,cast member flashbacks fool educated bryanston school blandford dorset,Flashbacks of a Fool | Blandford United F.C. | Bryanston | Bryanston School | Blandford St Mary,Emilia Fox | Flashbacks of a Fool
Hybrid original,keep,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",1.0,1.0,0.8772153153380493,1.5,0.0,2,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",Flashbacks of a Fool | Bryanston | Blandford United F.C. | Emilia Fox | Bryanston School,Emilia Fox | Flashbacks of a Fool
Hybrid keyword,keyword_compress,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",1.0,1.0,1.0,1.5,0.0,2,cast member flashbacks fool educated bryanston school blandford dorset,Flashbacks of a Fool | Emilia Fox | Blandford United F.C. | Bryanston | John Pearce (handballer),Emilia Fox | Flashbacks of a Fool
Dense original,keep,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,1.0,1.0,1.0,1.5,0.0,1,Which Missing You actor was born August 17 1993?,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Justin Posey | Laurens Sweeck,Missing You (2013 TV series) | Yoo Seung-ho
Dense keyword,keyword_compress,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,1.0,1.0,1.0,1.5,0.0,1,missing you actor born august 17 1993,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Jamie Macoun | Justin Posey,Missing You (2013 TV series) | Yoo Seung-ho
Hybrid original,keep,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,1.0,1.0,1.0,1.5,0.0,2,Which Missing You actor was born August 17 1993?,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Justin Posey | MV Arctic Sea,Missing You (2013 TV series) | Yoo Seung-ho
Hybrid keyword,keyword_compress,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,1.0,1.0,1.0,1.5,0.0,2,missing you actor born august 17 1993,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | František Sisr | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho
Dense original,keep,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,1.0,1.0,0.9197207891481876,1.5,0.0,1,What Tony Award winner directed and co-produced Six by Sondheim?,Six by Sondheim | Stephen Sondheim | James Lapine | Special Tony Award | Serializer,James Lapine | Six by Sondheim
Dense keyword,keyword_compress,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,1.0,1.0,0.9197207891481876,1.5,0.0,1,tony award winner directed co produced six sondheim,Six by Sondheim | Stephen Sondheim | James Lapine | Special Tony Award | Swoosie Kurtz,James Lapine | Six by Sondheim
Hybrid original,keep,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,1.0,1.0,0.9197207891481876,1.5,0.0,2,What Tony Award winner directed and co-produced Six by Sondheim?,Six by Sondheim | Stephen Sondheim | James Lapine | Manjeet Kullar | Michael Flessas,James Lapine | Six by Sondheim
Hybrid keyword,keyword_compress,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,1.0,1.0,0.9197207891481876,1.5,0.0,2,tony award winner directed co produced six sondheim,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim
Dense original,keep,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,0.5,1.0,0.6131471927654584,1.0,0.0,1,Young Dolph was featured on the hit single by which American hip hop recording artist?,Young Dolph | Shoulder Lean | McGruff (rapper) | Peewee Longway | Cut It (song),O.T. Genasis | Young Dolph
Dense keyword,keyword_compress,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,0.5,1.0,0.6131471927654584,1.0,0.0,1,young dolph featured hit single american hip hop recording artist,Young Dolph | Shoulder Lean | McGruff (rapper) | Peewee Longway | Cut It (song),O.T. Genasis | Young Dolph
Hybrid original,keep,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,0.5,1.0,0.6131471927654584,1.0,0.0,2,Young Dolph was featured on the hit single by which American hip hop recording artist?,Young Dolph | Shoulder Lean | Cut It (song) | McGruff (rapper) | Nobody Does It Better (Nate Dogg song),O.T. Genasis | Young Dolph
Hybrid keyword,keyword_compress,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,0.5,1.0,0.6131471927654584,1.0,0.0,2,young dolph featured hit single american hip hop recording artist,Young Dolph | Cut It (song) | Peewee Longway | Shoulder Lean | McGruff (rapper),O.T. Genasis | Young Dolph
Dense original,keep,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,1.0,1.0,1.0,1.5,0.0,1,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,Collins and Maconie's Hit Parade | Stuart Maconie | Hit Parade 1 | Radcliffe &amp; Maconie | Hit parade,Collins and Maconie's Hit Parade | Stuart Maconie
Dense keyword,keyword_compress,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,1.0,1.0,1.0,1.5,0.0,1,broadcasting company both andrew collins stuart maconie collins maconie s hit parade both work together 1194 1197,Collins and Maconie's Hit Parade | Stuart Maconie | Hit Parade 1 | Radcliffe &amp; Maconie | Sons Ltd,Collins and Maconie's Hit Parade | Stuart Maconie
Hybrid original,keep,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,1.0,1.0,1.0,1.5,0.0,2,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,Collins and Maconie's Hit Parade | Stuart Maconie | Radcliffe &amp; Maconie | Sons Ltd | Hit Parade 1,Collins and Maconie's Hit Parade | Stuart Maconie
Hybrid keyword,keyword_compress,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,1.0,1.0,1.0,1.5,0.0,2,broadcasting company both andrew collins stuart maconie collins maconie s hit parade both work together 1194 1197,Collins and Maconie's Hit Parade | Stuart Maconie | Sons Ltd | Radcliffe &amp; Maconie | Hit Parade 1,Collins and Maconie's Hit Parade | Stuart Maconie
Dense original,keep,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,1.0,1.0,1.0,1.5,0.0,1,What sport is played by both Justin Gimelstob and Angelique Kerber?,Justin Gimelstob | Angelique Kerber | 2001 Kroger St. Jude International – Doubles | 2000 Franklin Templeton Tennis Classic – Doubles | 1999 Nottingham Open – Doubles,Angelique Kerber | Justin Gimelstob
Dense keyword,keyword_compress,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,1.0,0.5,0.6934264036172708,1.25,0.0,1,sport played both justin gimelstob angelique kerber,2001 Kroger St. Jude International – Doubles | Angelique Kerber | Justin Gimelstob | 2000 Franklin Templeton Tennis Classic – Doubles | 1999 Nottingham Open – Doubles,Angelique Kerber | Justin Gimelstob
Hybrid original,keep,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,1.0,1.0,1.0,1.5,0.0,2,What sport is played by both Justin Gimelstob and Angelique Kerber?,Angelique Kerber | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2001 Kroger St. Jude International – Doubles | 2005 China Open – Men's Doubles,Angelique Kerber | Justin Gimelstob
