split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs,policy_action,fallback_action,fallback_used,predicted_action_margin,policy_action_score,runner_up_action_score
train,Vanilla BM25,bm25_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,New York City,MED-4935 | MED-3771 | MED-1568 | MED-3797 | MED-3795,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,BM25 keyword,bm25_keyword,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,new york city,MED-4935 | MED-3771 | MED-1568 | MED-3797 | MED-3795,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,Dense original,dense_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,New York City,MED-4517 | MED-3771 | MED-3798 | MED-1568 | MED-3598,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,Dense keyword,dense_keyword,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,new york city,MED-4517 | MED-3771 | MED-3798 | MED-1568 | MED-3598,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,Hybrid original,hybrid_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.03,2,3,0.5763829787234043,New York City,MED-3771 | MED-4517 | MED-4935 | MED-1568 | MED-3798,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,Hybrid keyword,hybrid_keyword,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.03,2,3,0.5763829787234043,new york city,MED-3771 | MED-4517 | MED-4935 | MED-1568 | MED-3798,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,Train-best retrieval action,dense_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,New York City,MED-4517 | MED-3771 | MED-3798 | MED-1568 | MED-3598,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
train,Selective retrieval policy,dense_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,New York City,MED-4517 | MED-3771 | MED-3798 | MED-1568 | MED-3598,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,dense_keep,,False,0.0,0.6655451828389625,0.6655451828389625
train,Confidence-gated retrieval policy,dense_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,New York City,MED-4517 | MED-3771 | MED-3798 | MED-1568 | MED-3598,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,dense_keep,dense_keep,True,0.0,0.6655451828389625,0.6655451828389625
train,Oracle retrieval action,bm25_keep,PLAIN-1715,New York City,0.10638297872340426,1.0,1.0,0.0,1,3,0.6063829787234043,New York City,MED-4935 | MED-3771 | MED-1568 | MED-3797 | MED-3795,MED-1568 | MED-1569 | MED-1570 | MED-1571 | MED-1572 | MED-1573 | MED-3597 | MED-3598 | MED-3599 | MED-3771 | MED-3772 | MED-3773 | MED-3774 | MED-3775 | MED-3776 | MED-3791 | MED-3792 | MED-3793 | MED-3794 | MED-3795 | MED-3796 | MED-3797 | MED-3798 | MED-3799 | MED-3800 | MED-3801 | MED-4184 | MED-4378 | MED-4379 | MED-4516 | MED-4517 | MED-4518 | MED-4522 | MED-4553 | MED-4635 | MED-4640 | MED-4672 | MED-4933 | MED-4934 | MED-4935 | MED-4936 | MED-4937 | MED-5097 | MED-5098 | MED-5099 | MED-5100 | MED-5101,,,,,,
