split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
train,Vanilla BM25,keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,24,1.5,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Rewrite-all keyword,keyword_compress,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,12,1.5,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Dwarka | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Rewrite-all entity expansion,entity_expand,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.04,1,14,1.46,Iqbal Qadir Okhamandal Peninsula f participated attack radar station located western shore okhamandal peninsula,Dwarka | Iqbal F. Qadir | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Train-best fixed rewrite,keyword_compress,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,12,1.5,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Dwarka | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Selective bandit,keyword_compress,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,12,1.5,iqbal f qadir participated attack radar station located western shore okhamandal peninsula,Iqbal F. Qadir | Dwarka | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Oracle best action,keep,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,1.0,1.0,1.0,0.0,1,24,1.5,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Vanilla BM25,keep,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,0.5,1.0,0.6131471927654584,0.0,1,11,1.0,When did the park at which Tivolis Koncertsal is located open?,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli One | Tivoli Two,Tivoli Gardens | Tivolis Koncertsal
train,Rewrite-all keyword,keyword_compress,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,0.5,1.0,0.6131471927654584,0.0,1,5,1.0,park tivolis koncertsal located open,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli One | Tivoli Two,Tivoli Gardens | Tivolis Koncertsal
train,Rewrite-all entity expansion,entity_expand,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,0.5,1.0,0.6131471927654584,0.04,1,7,0.96,Tivolis Koncertsal park tivolis koncertsal located open,Tivolis Koncertsal | Tivoli One | Tivoli Two | Wait and See (album) | Pepper Tree Playfield,Tivoli Gardens | Tivolis Koncertsal
train,Train-best fixed rewrite,keyword_compress,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,0.5,1.0,0.6131471927654584,0.0,1,5,1.0,park tivolis koncertsal located open,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli One | Tivoli Two,Tivoli Gardens | Tivolis Koncertsal
train,Selective bandit,decompose,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,1.0,1.0,0.8503449055347546,0.1,2,5,1.4,park tivolis || koncertsal located open,Tivolis Koncertsal | Taconic State Park – Copake Falls Area | Takino Suzuran Hillside National Government Park | Pepper Tree Playfield | Tivoli Gardens,Tivoli Gardens | Tivolis Koncertsal
train,Oracle best action,decompose,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,1.0,1.0,0.8503449055347546,0.1,2,5,1.4,park tivolis || koncertsal located open,Tivolis Koncertsal | Taconic State Park – Copake Falls Area | Takino Suzuran Hillside National Government Park | Pepper Tree Playfield | Tivoli Gardens,Tivoli Gardens | Tivolis Koncertsal
train,Vanilla BM25,keep,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,1.0,1.0,0.9197207891481876,0.0,1,13,1.5,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Scout Tufankjian | KOKO-FM | Art Laboe | Chinese Australians | Indian Scout (motorcycle),Art Laboe | Scout Tufankjian
train,Rewrite-all keyword,keyword_compress,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,1.0,1.0,1.0,0.0,1,8,1.5,shared country ancestry between art laboe scout tufankjian,Scout Tufankjian | Art Laboe | KOKO-FM | Chinese Australians | Original Sound,Art Laboe | Scout Tufankjian
train,Rewrite-all entity expansion,entity_expand,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,1.0,1.0,1.0,0.08,1,12,1.42,Art Laboe Scout Tufankjian shared country ancestry between art laboe scout tufankjian,Scout Tufankjian | Art Laboe | KOKO-FM | Original Sound | Chinese Australians,Art Laboe | Scout Tufankjian
train,Train-best fixed rewrite,keyword_compress,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,1.0,1.0,1.0,0.0,1,8,1.5,shared country ancestry between art laboe scout tufankjian,Scout Tufankjian | Art Laboe | KOKO-FM | Chinese Australians | Original Sound,Art Laboe | Scout Tufankjian
train,Selective bandit,keyword_compress,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,1.0,1.0,1.0,0.0,1,8,1.5,shared country ancestry between art laboe scout tufankjian,Scout Tufankjian | Art Laboe | KOKO-FM | Chinese Australians | Original Sound,Art Laboe | Scout Tufankjian
train,Oracle best action,keep,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,1.0,1.0,0.9197207891481876,0.0,1,13,1.5,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Scout Tufankjian | KOKO-FM | Art Laboe | Chinese Australians | Indian Scout (motorcycle),Art Laboe | Scout Tufankjian
train,Vanilla BM25,keep,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,1.0,1.0,1.0,0.0,1,13,1.5,The school in which the Wilmslow Show is held is designated as what?,Wilmslow High School | Wilmslow Show | California State Summer School for the Arts | Hawthorn Hall | Pownall Hall,Wilmslow High School | Wilmslow Show
train,Rewrite-all keyword,keyword_compress,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,1.0,1.0,1.0,0.0,1,5,1.5,school wilmslow show held designated,Wilmslow Show | Wilmslow High School | Dungeness School | 2015 CIS University Cup | Corn School,Wilmslow High School | Wilmslow Show
train,Rewrite-all entity expansion,entity_expand,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,1.0,1.0,1.0,0.04,1,7,1.46,Wilmslow Show school wilmslow show held designated,Wilmslow Show | Wilmslow High School | Dungeness School | Corn School | Conestoga (convention),Wilmslow High School | Wilmslow Show
train,Train-best fixed rewrite,keyword_compress,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,1.0,1.0,1.0,0.0,1,5,1.5,school wilmslow show held designated,Wilmslow Show | Wilmslow High School | Dungeness School | 2015 CIS University Cup | Corn School,Wilmslow High School | Wilmslow Show
train,Selective bandit,keyword_compress,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,1.0,1.0,1.0,0.0,1,5,1.5,school wilmslow show held designated,Wilmslow Show | Wilmslow High School | Dungeness School | 2015 CIS University Cup | Corn School,Wilmslow High School | Wilmslow Show
train,Oracle best action,keep,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,1.0,1.0,1.0,0.0,1,13,1.5,The school in which the Wilmslow Show is held is designated as what?,Wilmslow High School | Wilmslow Show | California State Summer School for the Arts | Hawthorn Hall | Pownall Hall,Wilmslow High School | Wilmslow Show
train,Vanilla BM25,keep,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,1.0,1.0,1.0,0.0,1,17,1.5,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tadakha,Billy Howle | On Chesil Beach (film)
train,Rewrite-all keyword,keyword_compress,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,1.0,1.0,1.0,0.0,1,12,1.5,will billy howle seen opposite upcoming british drama film directed dominic cooke,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tell It to the Bees,Billy Howle | On Chesil Beach (film)
train,Rewrite-all entity expansion,entity_expand,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,1.0,1.0,1.0,0.08,1,16,1.42,Billy Howle British Dominic Cooke will billy howle seen opposite upcoming drama film directed dominic cooke,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tell It to the Bees,Billy Howle | On Chesil Beach (film)
