split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
train,Vanilla BM25,bm25_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,BM25 keyword,bm25_keyword,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,5,1.5,number beginning sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-7837928303999170875 | nq:-4843437099290518220,nq:8818050291845026380
train,Dense original,dense_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:3627157842176736422 | nq:6185983988907724243 | nq:-1535821556179322605 | nq:-7008352380240766023,nq:8818050291845026380
train,Dense keyword,dense_keyword,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,5,1.5,number beginning sesame street mean,nq:8818050291845026380 | nq:3627157842176736422 | nq:-7008352380240766023 | nq:6185983988907724243 | nq:-1535821556179322605,nq:8818050291845026380
train,Hybrid original,hybrid_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.03,2,11,1.47,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:3627157842176736422 | nq:-4482979425454794325 | nq:6185983988907724243,nq:8818050291845026380
train,Hybrid keyword,hybrid_keyword,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.03,2,5,1.47,number beginning sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:3627157842176736422 | nq:-4482979425454794325 | nq:-7008352380240766023,nq:8818050291845026380
train,Train-best retrieval action,dense_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:3627157842176736422 | nq:6185983988907724243 | nq:-1535821556179322605 | nq:-7008352380240766023,nq:8818050291845026380
train,Selective retrieval policy,bm25_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,Oracle retrieval action,bm25_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,Vanilla BM25,bm25_keep,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,9,0.0,who plays sheldon's mother on the big bang theory,nq:7996383088631167889 | nq:-3366153456070660329 | nq:2161753529169331826 | nq:-6966959898445658330 | nq:5299445249075474807,nq:5262117656875370095
train,BM25 keyword,bm25_keyword,5262117656875370095,who plays sheldon's mother on the big bang theory,0.0,0.0,0.0,0.0,1,7,0.0,plays sheldon s mother big bang theory,nq:7996383088631167889 | nq:-6966959898445658330 | nq:-8201769409989966317 | nq:7242602448090583615 | nq:8703310985700123593,nq:5262117656875370095
train,Dense original,dense_keep,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,1.0,1.0,0.0,1,9,1.5,who plays sheldon's mother on the big bang theory,nq:5262117656875370095 | nq:7996383088631167889 | nq:4484181007703059448 | nq:8703310985700123593 | nq:-3088831012491766629,nq:5262117656875370095
train,Dense keyword,dense_keyword,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,1.0,1.0,0.0,1,7,1.5,plays sheldon s mother big bang theory,nq:5262117656875370095 | nq:8703310985700123593 | nq:7996383088631167889 | nq:4484181007703059448 | nq:-3088831012491766629,nq:5262117656875370095
train,Hybrid original,hybrid_keep,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,0.5,0.6309297535714575,0.03,2,9,1.22,who plays sheldon's mother on the big bang theory,nq:7996383088631167889 | nq:5262117656875370095 | nq:-3366153456070660329 | nq:2161753529169331826 | nq:4484181007703059448,nq:5262117656875370095
train,Hybrid keyword,hybrid_keyword,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,0.5,0.6309297535714575,0.03,2,7,1.22,plays sheldon s mother big bang theory,nq:7996383088631167889 | nq:5262117656875370095 | nq:8703310985700123593 | nq:-6966959898445658330 | nq:-8201769409989966317,nq:5262117656875370095
train,Train-best retrieval action,dense_keep,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,1.0,1.0,0.0,1,9,1.5,who plays sheldon's mother on the big bang theory,nq:5262117656875370095 | nq:7996383088631167889 | nq:4484181007703059448 | nq:8703310985700123593 | nq:-3088831012491766629,nq:5262117656875370095
train,Selective retrieval policy,dense_keep,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,1.0,1.0,0.0,1,9,1.5,who plays sheldon's mother on the big bang theory,nq:5262117656875370095 | nq:7996383088631167889 | nq:4484181007703059448 | nq:8703310985700123593 | nq:-3088831012491766629,nq:5262117656875370095
train,Oracle retrieval action,dense_keep,5262117656875370095,who plays sheldon's mother on the big bang theory,1.0,1.0,1.0,0.0,1,9,1.5,who plays sheldon's mother on the big bang theory,nq:5262117656875370095 | nq:7996383088631167889 | nq:4484181007703059448 | nq:8703310985700123593 | nq:-3088831012491766629,nq:5262117656875370095
train,Vanilla BM25,bm25_keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-1546147308403024577 | nq:7714908170965184772 | nq:2044173796998267302 | nq:629947557016149979,nq:-7837928303999170875
train,BM25 keyword,bm25_keyword,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,8,1.5,explain happens extra quarter day each calendar year,nq:-7837928303999170875 | nq:629947557016149979 | nq:2044173796998267302 | nq:6361206394302458673 | nq:1172277683662974732,nq:-7837928303999170875
train,Dense original,dense_keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-7275272659885289884 | nq:629947557016149979 | nq:1282655845578356 | nq:-2991495048708668233,nq:-7837928303999170875
train,Dense keyword,dense_keyword,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,8,1.5,explain happens extra quarter day each calendar year,nq:-7837928303999170875 | nq:-7275272659885289884 | nq:629947557016149979 | nq:6361206394302458673 | nq:1282655845578356,nq:-7837928303999170875
train,Hybrid original,hybrid_keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.03,2,13,1.47,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:629947557016149979 | nq:-1546147308403024577 | nq:-7275272659885289884 | nq:7714908170965184772,nq:-7837928303999170875
train,Hybrid keyword,hybrid_keyword,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.03,2,8,1.47,explain happens extra quarter day each calendar year,nq:-7837928303999170875 | nq:629947557016149979 | nq:-7275272659885289884 | nq:6361206394302458673 | nq:2044173796998267302,nq:-7837928303999170875
train,Train-best retrieval action,dense_keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-7275272659885289884 | nq:629947557016149979 | nq:1282655845578356 | nq:-2991495048708668233,nq:-7837928303999170875
train,Selective retrieval policy,bm25_keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-1546147308403024577 | nq:7714908170965184772 | nq:2044173796998267302 | nq:629947557016149979,nq:-7837928303999170875
train,Oracle retrieval action,bm25_keep,-7837928303999170875,explain what happens to the extra quarter of a day each calendar year,1.0,1.0,1.0,0.0,1,13,1.5,explain what happens to the extra quarter of a day each calendar year,nq:-7837928303999170875 | nq:-1546147308403024577 | nq:7714908170965184772 | nq:2044173796998267302 | nq:629947557016149979,nq:-7837928303999170875
train,Vanilla BM25,bm25_keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:7714886640662001831 | nq:-3741918003226406702,nq:-8650104853556692961
train,BM25 keyword,bm25_keyword,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,4,1.5,name manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:-3741918003226406702 | nq:7714886640662001831,nq:-8650104853556692961
train,Dense original,dense_keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:3860011458309154397 | nq:-3741918003226406702 | nq:6420343736563383990 | nq:-7520682400646360503,nq:-8650104853556692961
train,Dense keyword,dense_keyword,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,4,1.5,name manchester united stadium,nq:-8650104853556692961 | nq:3860011458309154397 | nq:-7520682400646360503 | nq:-3741918003226406702 | nq:6420343736563383990,nq:-8650104853556692961
train,Hybrid original,hybrid_keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.03,2,8,1.47,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:-3741918003226406702 | nq:-7520682400646360503 | nq:2466911194726715273 | nq:3860011458309154397,nq:-8650104853556692961
train,Hybrid keyword,hybrid_keyword,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.03,2,4,1.47,name manchester united stadium,nq:-8650104853556692961 | nq:-7520682400646360503 | nq:-3741918003226406702 | nq:2466911194726715273 | nq:3860011458309154397,nq:-8650104853556692961
train,Train-best retrieval action,dense_keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:3860011458309154397 | nq:-3741918003226406702 | nq:6420343736563383990 | nq:-7520682400646360503,nq:-8650104853556692961
train,Selective retrieval policy,bm25_keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:7714886640662001831 | nq:-3741918003226406702,nq:-8650104853556692961
train,Oracle retrieval action,bm25_keep,-8650104853556692961,what is the name of manchester united stadium,1.0,1.0,1.0,0.0,1,8,1.5,what is the name of manchester united stadium,nq:-8650104853556692961 | nq:2466911194726715273 | nq:-7520682400646360503 | nq:7714886640662001831 | nq:-3741918003226406702,nq:-8650104853556692961
train,Vanilla BM25,bm25_keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:4826133206438959478 | nq:1537244195687008584 | nq:-8779917413777030409,nq:-5248648953323441399
