source_dataset,target_dataset,split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs,policy_action_score
scifact,nfcorpus,test,Vanilla BM25,bm25_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2137 | MED-2521 | MED-2134 | MED-2520 | MED-2514,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,BM25 keyword,bm25_keyword,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2137 | MED-2521 | MED-2134 | MED-2520 | MED-2514,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Dense original,dense_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2134 | MED-2521 | MED-2517 | MED-5237 | MED-2137,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Dense keyword,dense_keyword,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2134 | MED-2521 | MED-2517 | MED-5237 | MED-2137,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Hybrid original,hybrid_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.03,2,1,0.62625,rapamycin,MED-2134 | MED-2137 | MED-2521 | MED-2517 | MED-2520,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Hybrid keyword,hybrid_keyword,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.03,2,1,0.62625,rapamycin,MED-2134 | MED-2137 | MED-2521 | MED-2517 | MED-2520,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Target train-best action,dense_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2134 | MED-2521 | MED-2517 | MED-5237 | MED-2137,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Heuristic retrieval router,dense_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2134 | MED-2521 | MED-2517 | MED-5237 | MED-2137,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Transferred source policy,dense_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2134 | MED-2521 | MED-2517 | MED-5237 | MED-2137,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,0.3408622160271632
scifact,nfcorpus,test,Oracle retrieval action,bm25_keep,PLAIN-1983,rapamycin,0.15625,1.0,1.0,0.0,1,1,0.65625,rapamycin,MED-2137 | MED-2521 | MED-2134 | MED-2520 | MED-2514,MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2943 | MED-5237 | MED-5239,
scifact,nfcorpus,test,Vanilla BM25,bm25_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,Zoloft,MED-10 | MED-14 | MED-118 | MED-301 | MED-306,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,BM25 keyword,bm25_keyword,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,zoloft,MED-10 | MED-14 | MED-118 | MED-301 | MED-306,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Dense original,dense_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,Zoloft,MED-3540 | MED-1353 | MED-1010 | MED-1577 | MED-1345,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Dense keyword,dense_keyword,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,zoloft,MED-3540 | MED-1353 | MED-1010 | MED-1577 | MED-1345,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Hybrid original,hybrid_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.03,2,1,-0.03,Zoloft,MED-10 | MED-3540 | MED-1353 | MED-14 | MED-1010,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Hybrid keyword,hybrid_keyword,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.03,2,1,-0.03,zoloft,MED-10 | MED-3540 | MED-1353 | MED-14 | MED-1010,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Target train-best action,dense_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,Zoloft,MED-3540 | MED-1353 | MED-1010 | MED-1577 | MED-1345,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Heuristic retrieval router,dense_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,Zoloft,MED-3540 | MED-1353 | MED-1010 | MED-1577 | MED-1345,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Transferred source policy,dense_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,Zoloft,MED-3540 | MED-1353 | MED-1010 | MED-1577 | MED-1345,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,0.08866333995404385
scifact,nfcorpus,test,Oracle retrieval action,bm25_keep,PLAIN-2408,Zoloft,0.0,0.0,0.0,0.0,1,1,0.0,Zoloft,MED-10 | MED-14 | MED-118 | MED-301 | MED-306,MED-1356 | MED-1357 | MED-1358 | MED-1359 | MED-1360,
scifact,nfcorpus,test,Vanilla BM25,bm25_keep,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0,0.0,0.0,0.0,1,8,0.0,How Citrus Might Help Keep Your Hands Warm,MED-4256 | MED-4969 | MED-4392 | MED-4804 | MED-4429,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,BM25 keyword,bm25_keyword,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0,0.0,0.0,0.0,1,7,0.0,citrus might help keep your hands warm,MED-4256 | MED-4392 | MED-4804 | MED-4969 | MED-4429,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Dense original,dense_keep,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,1.0,0.3391602052736161,0.0,1,8,0.5196078431372549,How Citrus Might Help Keep Your Hands Warm,MED-3483 | MED-2707 | MED-2083 | MED-2073 | MED-4392,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Dense keyword,dense_keyword,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,0.5,0.21398626473452756,0.0,1,7,0.2696078431372549,citrus might help keep your hands warm,MED-2707 | MED-3483 | MED-2073 | MED-2711 | MED-2083,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Hybrid original,hybrid_keep,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,1.0,0.3391602052736161,0.03,2,8,0.4896078431372549,How Citrus Might Help Keep Your Hands Warm,MED-3483 | MED-4256 | MED-4392 | MED-2707 | MED-4969,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Hybrid keyword,hybrid_keyword,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,0.3333333333333333,0.16958010263680806,0.03,2,7,0.15627450980392157,citrus might help keep your hands warm,MED-2707 | MED-4256 | MED-3483 | MED-4392 | MED-2073,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Target train-best action,dense_keep,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,1.0,0.3391602052736161,0.0,1,8,0.5196078431372549,How Citrus Might Help Keep Your Hands Warm,MED-3483 | MED-2707 | MED-2083 | MED-2073 | MED-4392,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Heuristic retrieval router,bm25_keep,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0,0.0,0.0,0.0,1,8,0.0,How Citrus Might Help Keep Your Hands Warm,MED-4256 | MED-4969 | MED-4392 | MED-4804 | MED-4429,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Transferred source policy,hybrid_keyword,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,0.3333333333333333,0.16958010263680806,0.03,2,7,0.15627450980392157,citrus might help keep your hands warm,MED-2707 | MED-4256 | MED-3483 | MED-4392 | MED-2073,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,0.7823631408160273
scifact,nfcorpus,test,Oracle retrieval action,dense_keep,PLAIN-123,How Citrus Might Help Keep Your Hands Warm,0.0196078431372549,1.0,0.3391602052736161,0.0,1,8,0.5196078431372549,How Citrus Might Help Keep Your Hands Warm,MED-3483 | MED-2707 | MED-2083 | MED-2073 | MED-4392,MED-3467 | MED-3469 | MED-3471 | MED-3473 | MED-3474 | MED-3475 | MED-3476 | MED-3477 | MED-3478 | MED-3479 | MED-3480 | MED-3481 | MED-3482 | MED-3483 | MED-3484 | MED-3485 | MED-4013 | MED-4019 | MED-4022 | MED-4023 | MED-4024 | MED-4025 | MED-4029 | MED-4030 | MED-4031 | MED-4032 | MED-4033 | MED-4034 | MED-4035 | MED-4036 | MED-5322 | MED-5323 | MED-5324 | MED-5325 | MED-5326 | MED-5327 | MED-5328 | MED-5329 | MED-5330 | MED-5331 | MED-5332 | MED-5333 | MED-5334 | MED-5335 | MED-5337 | MED-5338 | MED-5339 | MED-5340 | MED-5341 | MED-5342 | MED-5363,
scifact,nfcorpus,test,Vanilla BM25,bm25_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3584 | MED-3138 | MED-1880 | MED-2140 | MED-3136,MED-4281,
scifact,nfcorpus,test,BM25 keyword,bm25_keyword,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3584 | MED-3138 | MED-1880 | MED-2140 | MED-3136,MED-4281,
scifact,nfcorpus,test,Dense original,dense_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3136 | MED-2570 | MED-4991 | MED-2144 | MED-3132,MED-4281,
scifact,nfcorpus,test,Dense keyword,dense_keyword,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3136 | MED-2570 | MED-4991 | MED-2144 | MED-3132,MED-4281,
scifact,nfcorpus,test,Hybrid original,hybrid_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.03,2,2,-0.03,fava beans,MED-3136 | MED-3584 | MED-2570 | MED-3138 | MED-1880,MED-4281,
scifact,nfcorpus,test,Hybrid keyword,hybrid_keyword,PLAIN-1161,fava beans,0.0,0.0,0.0,0.03,2,2,-0.03,fava beans,MED-3136 | MED-3584 | MED-2570 | MED-3138 | MED-1880,MED-4281,
scifact,nfcorpus,test,Target train-best action,dense_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3136 | MED-2570 | MED-4991 | MED-2144 | MED-3132,MED-4281,
scifact,nfcorpus,test,Heuristic retrieval router,dense_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3136 | MED-2570 | MED-4991 | MED-2144 | MED-3132,MED-4281,
