dataset,qid,question,selected_action,train_best_action,oracle_action,policy_reward,train_best_reward,oracle_reward,policy_reward_delta_vs_train_best,policy_regret,oracle_margin_vs_train_best,oracle_margin_vs_second_best,candidate_action_reward_spread,oracle_tie_count,beats_train_best,matches_train_best_action,matches_oracle_action
scifact,517,High levels of copeptin decrease risk of diabetes.,hybrid_keyword,hybrid_keyword,bm25_keep,-0.03,-0.03,0.0,0.0,0.03,0.03,0.0,0.03,4,False,True,False
scifact,1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,bm25_keyword,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,dense_keep,hybrid_keyword,bm25_keep,0.0,-0.03,0.0,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,1199,The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,bm25_keep,hybrid_keyword,bm25_keep,0.0,-0.03,0.0,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,879,Occupancy of ribosomes by IncRNAs do not make functional peptides.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,552,IgA plasma cells that are specific for transglutaminase 2 accumulate in the duodenal mucosa on commencement of a gluten-free diet.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,100,All hematopoietic stem cells segregate their chromosomes randomly.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.333333333333,3,True,False,True
scifact,1088,Silencing of Bcl2 is important for the maintenance and progression of tumors.,hybrid_keyword,hybrid_keyword,dense_keep,1.22,1.22,1.5,0.0,0.28,0.28,0.0,1.5,2,False,True,False
scifact,127,Arginine 90 in p150n is important for interaction with EB1.,hybrid_keep,hybrid_keyword,dense_keep,1.47,1.47,1.5,0.0,0.03,0.03,0.0,0.333333333333,2,False,False,False
scifact,1379,Women with a higher birth weight are more likely to develop breast cancer later in life.,dense_keep,hybrid_keyword,dense_keep,1.5,1.22,1.5,0.28,0.0,0.28,0.0,1.083333333333,2,True,False,True
scifact,513,High cardiopulmonary fitness causes increased mortality rate.,hybrid_keyword,hybrid_keyword,bm25_keep,1.22,1.22,1.5,0.0,0.28,0.28,0.0,0.28,2,False,True,False
scifact,1029,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,bm25_keep,hybrid_keyword,dense_keep,1.1666666666666663,1.1366666666666665,1.5,0.03,0.333333333333,0.363333333333,0.0,0.363333333333,2,True,False,False
scifact,956,Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.,dense_keep,hybrid_keyword,dense_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.333333333333,2,True,False,True
scifact,1385,cSMAC formation enhances weak ligand signalling.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.25,2,True,False,True
scifact,1362,Venules have a larger lumen diameter than arterioles.,hybrid_keyword,hybrid_keyword,bm25_keep,-0.03,-0.03,1.1666666666666667,0.0,1.196666666667,1.196666666667,0.0,1.196666666667,2,False,True,False
scifact,179,Birth-weight is positively associated with breast cancer.,hybrid_keyword,hybrid_keyword,dense_keep,1.22,1.22,1.5,0.0,0.28,0.28,0.0,0.5,2,False,True,False
scifact,729,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,hybrid_keep,hybrid_keyword,dense_keep,1.22,1.22,1.5,0.0,0.28,0.28,0.25,0.28,1,False,False,False
scifact,805,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,1187,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,hybrid_keyword,hybrid_keyword,bm25_keep,1.22,1.22,1.5,0.0,0.28,0.28,0.0,0.28,2,False,True,False
scifact,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",dense_keyword,hybrid_keyword,bm25_keep,1.1666666666666667,1.22,1.5,-0.053333333333,0.333333333333,0.28,0.0,0.333333333333,2,False,False,False
scifact,1086,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,dense_keyword,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,1200,The binding orientation of the ML-SA1 activator at hTRPML2 is different from the binding orientation of the ML-SA1 activator at hTRPML1.,dense_keep,hybrid_keyword,bm25_keep,0.0,-0.03,0.0,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,684,Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,hybrid_keyword,hybrid_keyword,bm25_keep,1.47,1.47,1.5,0.0,0.03,0.03,0.0,0.25,3,False,True,False
scifact,619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,dense_keep,hybrid_keyword,bm25_keep,0.0,-0.03,0.6,0.03,0.6,0.63,0.0,0.63,2,True,False,False
scifact,1191,The amount of publicly available DNA data doubles every 10 years.,dense_keyword,hybrid_keyword,dense_keep,1.1666666666666667,1.07,1.25,0.096666666667,0.083333333333,0.18,0.083333333333,1.25,1,True,False,False
scifact,957,Podocytes are motile and migrate in the presence of injury.,hybrid_keyword,hybrid_keyword,bm25_keep,1.1366666666666667,1.1366666666666667,1.25,0.0,0.113333333333,0.113333333333,0.0,1.25,2,False,True,False
scifact,411,Febrile seizures reduce the threshold for development of epilepsy.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,hybrid_keyword,hybrid_keyword,bm25_keep,1.22,1.22,1.5,0.0,0.28,0.28,0.03,0.333333333333,1,False,True,False
scifact,1332,Tumor necrosis factor alpha (TNF-α) and interleukin-1 (IL-1) are pro-inflammatory cytokines that inhibit IL-6 and IL-10.,dense_keep,hybrid_keyword,bm25_keep,0.0,-0.03,0.0,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,569,"In adult tissue, most T cells are memory T cells.",hybrid_keyword,hybrid_keyword,bm25_keep,1.47,1.47,1.5,0.0,0.03,0.03,0.0,0.375,2,False,True,False
scifact,870,Obesity decreases life quality.,bm25_keyword,hybrid_keyword,bm25_keep,0.0,-0.03,0.0,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,bm25_keyword,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,False
scifact,1110,Suboptimal nutrition is not predictive of chronic disease,hybrid_keyword,hybrid_keyword,bm25_keep,-0.03,-0.03,0.0,0.0,0.03,0.03,0.0,0.03,4,False,True,False
scifact,831,NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,hybrid_keyword,hybrid_keyword,bm25_keep,-0.03,-0.03,0.0,0.0,0.03,0.03,0.0,0.03,4,False,True,False
scifact,1202,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,dense_keyword,hybrid_keyword,bm25_keep,1.125,1.22,1.5,-0.095,0.375,0.28,0.0,0.375,2,False,False,False
scifact,521,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,539,Hypoglycemia increases the risk of dementia.,hybrid_keyword,hybrid_keyword,bm25_keep,1.47,1.47,1.5,0.0,0.03,0.03,0.0,0.03,4,False,True,False
scifact,218,CX3CR1 on the Th2 cells promotes airway inflammation.,bm25_keep,hybrid_keyword,bm25_keep,1.5,1.47,1.5,0.03,0.0,0.03,0.0,0.03,4,True,False,True
scifact,1204,The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,hybrid_keyword,hybrid_keyword,bm25_keep,1.47,1.47,1.5,0.0,0.03,0.03,0.0,0.03,4,False,True,False
scifact,1179,The PRR MDA5 has a central DExD/H RNA helices domain.,bm25_keyword,hybrid_keyword,bm25_keep,0.0,-0.03,0.0,0.03,0.0,0.03,0.0,0.03,4,True,False,False
