method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
Selective bandit,entity_expand,5a712e895542994082a3e636,C.J. Hunter was tested positive for which type of injected steroid before he competed in the 2000 Summer Olympic Games?,0.5,1.0,0.6131471927654584,0.06,1,17,0.94,Hunter Summer Olympic Games c j tested positive type injected steroid before competed 2000 summer olympic games,C. J. Hunter | Hysen Pulaku | Scot Hollonbeck | Trinidad and Tobago at the 2008 Summer Olympics | 2008 Summer Olympics,C. J. Hunter | Nandrolone
Selective bandit,keyword_compress,5ab58f9a554299488d4d99da,"What is the birthday of this Anglo-Irish actress, courtean, and mistress, who was the mother to the illegitimate daughter of King William IV?",0.5,1.0,0.6131471927654584,0.0,1,12,1.0,birthday anglo irish actress courtean mistress mother illegitimate daughter king william iv,"Dorothea Jordan | John Crichton-Stuart, 5th Marquess of Bute | Wilhelmina FitzClarence, Countess of Munster | Lady Mary Fox | Lord Frederick FitzClarence","Dorothea Jordan | Elizabeth Hay, Countess of Erroll"
Selective bandit,decompose,5ab72c7d55429928e1fe3830,What was fort orange's initial name?,1.0,0.5,0.6240505200038379,0.1,2,5,1.15,fort orange || s initial name,Oops-Leon | Fort Orange (New Netherland) | Over-Run | Fort Sekondi | Fort Frederick (Albany),Fort Frederick (Albany) | Fort Orange (New Netherland)
Selective bandit,entity_expand,5a809fe75542996402f6a5ba,The Phillips Berlina is a neo-classic car that used stretched underpinings from a car that set a new sales record for what model year?,1.0,1.0,1.0,0.02,1,17,1.48,The Phillips Berlina phillips berlina neo classic car used stretched underpinings set new sales record model year,Phillips Berlina | Chevrolet Corvette (C3) | .350 Remington Magnum | Nissan Sentra | Chevrolet Corvette (C1),Chevrolet Corvette (C3) | Phillips Berlina
Selective bandit,keyword_compress,5abbfb5e554299114383a0d0,Which game showed has reruns on Teletoon in Canada and was shown between midnight and 6:00 on Cartoon Network Too?,1.0,1.0,0.8772153153380493,0.0,1,13,1.5,game showed reruns teletoon canada shown between midnight 6 00 cartoon network too,Cartoon Network Too | Johnny Test (season 6) | The Amazing Adrenalini Brothers | Skatoony | Loonatics Unleashed,Cartoon Network Too | Skatoony
Selective bandit,keyword_compress,5a7949d45542994bb9456fdd,"What is the Latin name for one of the five ""big cats"" that the word ""Panther"" may refer to when outside of the Americas?",1.0,1.0,0.9197207891481876,0.0,1,12,1.5,latin name one five big cats word panther may refer outside americas,Leopard | Acinonychini | White panther | Paulus Angelus (disambiguation) | Oxoniensis,Leopard | White panther
Selective bandit,keyword_compress,5a8aa1685542992d82986f32,What dance academy did the starring actress from The Glory of Tang Dynasty graduate from?,1.0,1.0,1.0,0.0,1,8,1.5,dance academy starring actress glory tang dynasty graduate,Jing Tian | The Glory of Tang Dynasty | Ungjin Commandery | Turks in the Tang military | Islamicisation and Turkicisation of Xinjiang,Jing Tian | The Glory of Tang Dynasty
Selective bandit,keep,5a7526945542993748c897d2,What year did the movement that Tess Asplund protested in the viral image of her with her fist in the air disband?,0.5,1.0,0.6131471927654584,0.0,1,22,1.0,What year did the movement that Tess Asplund protested in the viral image of her with her fist in the air disband?,Tess Asplund | Katarina Asplund | Ioanna-Maria Gertsou | Tess Taylor | Hohn Air Base,Nordic Resistance Movement | Tess Asplund
Selective bandit,keep,5a85c3225542992a431d1b95,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,1.0,0.5,0.6509209298071326,0.0,1,17,1.25,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,Stafanie Taylor | Marlon Samuels | Ray Wynter | 2000 ICC KnockOut Trophy | 2000 ICC KnockOut Trophy squads,2000 ICC KnockOut Trophy | Marlon Samuels
Selective bandit,keep,5a7cefcf55429909bec768af,Mis'ry's Comin' Aroun is by an American librettist that won how many Tony Awards? ,1.0,1.0,0.9197207891481876,0.0,1,14,1.5,Mis'ry's Comin' Aroun is by an American librettist that won how many Tony Awards?,Mis'ry's Comin' Aroun | Terri Gibbs | Oscar Hammerstein II | All My Hits Vol. 2 | Michael Korie,Mis'ry's Comin' Aroun | Oscar Hammerstein II
Selective bandit,keyword_compress,5a80aeff5542996402f6a5eb,"For what ""first"" was Ivory Lee Brown's nephew credited for in Heisman Trophy balloting?",1.0,1.0,0.9197207891481876,0.0,1,10,1.5,first ivory lee brown s nephew credited heisman trophy balloting,Ivory Lee Brown | Bobby Humphrey | Adrian Peterson | 1964 Illinois Fighting Illini football team | Heisman curse,Adrian Peterson | Ivory Lee Brown
Selective bandit,keyword_compress,5a72a9ab5542992359bc315a,Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?,1.0,1.0,0.8772153153380493,0.0,1,11,1.5,north american tribe inhabited banks winnipesaukee river also known pawtucket people,Pennacook | Slater Park | Aquadoctan | Lochmere Archeological District | Sulphite Railroad Bridge,Lochmere Archeological District | Pennacook
Selective bandit,keep,5a84e61b5542997b5ce3ff86,"The Simpsons episode that aired on February 19, 2012 entitled ""At Long Last Leave"" represented what milestone for the show? ",1.0,1.0,0.9197207891481876,0.0,1,20,1.5,"The Simpsons episode that aired on February 19, 2012 entitled ""At Long Last Leave"" represented what milestone for the show?",The Simpsons (season 23) | You Kent Always Say What You Want | At Long Last Leave | Good Night (The Simpsons short) | List of The Simpsons comics,At Long Last Leave | The Simpsons (season 23)
Selective bandit,keyword_compress,5ae52bc75542992663a4f12d,Where was Nexon who was composed by Adam Gubman located at?,0.5,1.0,0.6131471927654584,0.0,1,5,1.0,nexon composed adam gubman located,Adam Gubman | Gare de Nexon | Kru Interactive | Gare de Lubersac | Gare de Coussac-Bonneval,Adam Gubman | Nexon
Selective bandit,keyword_compress,5ae1f48d554299234fd0436b,AnnoZero had a collaborator who is a member of which ancient aristocratic house?,1.0,1.0,1.0,0.0,1,6,1.5,annozero collaborator member ancient aristocratic house,AnnoZero | Beatrice Borromeo | Henry Carton de Wiart | Cangelari family | Thuringian Counts' War,AnnoZero | Beatrice Borromeo
Selective bandit,keyword_compress,5ae7fde25542994a481bbe66,Which of the people that scored a goal for Arsenal in 2015 FA Cup Final was born on 16 March 1989?,1.0,1.0,0.8772153153380493,0.0,1,12,1.5,people scored goal arsenal 2015 fa cup final born 16 march 1989,Theo Walcott | 2009 FA Cup Final | 1979 FA Cup Final | 2015 FA Cup Final | 1998 FA Cup Final,2015 FA Cup Final | Theo Walcott
