dataset,split,qid,question,gold_answer,retrieval_method,retrieval_action,reader,predicted_answer,reader_score,reader_passage_id,exact_match,f1,recall_at_5,mrr,ndcg_at_5,retrieval_calls,retrieval_reward,top_docs,gold_docs,missing_doc_count,claim_scope
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Vanilla BM25,bm25_keep,lexical,"of episodes 16 Production Running time 50 minutes Release Original network ITV Picture format 4 : 3 Original release 29 April 1997 -- 6 June 1999 Touching Evil is a British television drama serial , which began airing in 1997 .",0.6,nq:-7008352380240766023,0.0,0.05405405405405406,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:5262336130893308488 | nq:-1567826404295558649 | nq:7937545581647887851,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Vanilla BM25,bm25_keep,span,Production Running,0.6,nq:-7008352380240766023,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:5262336130893308488 | nq:-1567826404295558649 | nq:7937545581647887851,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Vanilla BM25,bm25_keep,answer_type,16,0.6,nq:-7008352380240766023,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:5262336130893308488 | nq:-1567826404295558649 | nq:7937545581647887851,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Train-best retrieval action,dense_keep,lexical,"of episodes 16 Production Running time 50 minutes Release Original network ITV Picture format 4 : 3 Original release 29 April 1997 -- 6 June 1999 Touching Evil is a British television drama serial , which began airing in 1997 .",0.6,nq:-7008352380240766023,0.0,0.05405405405405406,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:7937545581647887851,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Train-best retrieval action,dense_keep,span,Production Running,0.6,nq:-7008352380240766023,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:7937545581647887851,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Train-best retrieval action,dense_keep,answer_type,16,0.6,nq:-7008352380240766023,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:7937545581647887851,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Selective retrieval policy,dense_keyword,lexical,"of episodes 16 Production Running time 50 minutes Release Original network ITV Picture format 4 : 3 Original release 29 April 1997 -- 6 June 1999 Touching Evil is a British television drama serial , which began airing in 1997 .",0.6,nq:-7008352380240766023,0.0,0.05405405405405406,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:8049569980651777380,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Selective retrieval policy,dense_keyword,span,Production Running,0.6,nq:-7008352380240766023,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:8049569980651777380,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7008352380240766023,how many episodes of touching evil are there,16,Selective retrieval policy,dense_keyword,answer_type,16,0.6,nq:-7008352380240766023,1.0,1.0,1.0,1.0,1.0,1.0,1.5,nq:-7008352380240766023 | nq:5860639113441706536 | nq:-7928209120899654586 | nq:8519168409080529801 | nq:8049569980651777380,nq:-7008352380240766023,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Vanilla BM25,bm25_keep,lexical,"For the M * A * S * H episode , see The Army - Navy Game ( M * A * S * H ) .",0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Vanilla BM25,bm25_keep,span,M,0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Vanilla BM25,bm25_keep,answer_type,M,0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Train-best retrieval action,dense_keep,lexical,"For the M * A * S * H episode , see The Army - Navy Game ( M * A * S * H ) .",0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:6355352627831482364 | nq:-119638173687275454 | nq:7199935063232716100 | nq:2329833534419074937,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Train-best retrieval action,dense_keep,span,M,0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:6355352627831482364 | nq:-119638173687275454 | nq:7199935063232716100 | nq:2329833534419074937,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Train-best retrieval action,dense_keep,answer_type,M,0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:6355352627831482364 | nq:-119638173687275454 | nq:7199935063232716100 | nq:2329833534419074937,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Selective retrieval policy,bm25_keep,lexical,"For the M * A * S * H episode , see The Army - Navy Game ( M * A * S * H ) .",0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
nq,test,-7657379080399040683,where is this years army navy game played,Lincoln Financial Field in Philadelphia,Selective retrieval policy,bm25_keep,span,M,0.6,nq:-7657379080399040683,0.0,0.0,1.0,1.0,1.0,1.0,1.5,nq:-7657379080399040683 | nq:-119638173687275454 | nq:5062184728482203596 | nq:6034599695278533930 | nq:3470213507052116668,nq:-7657379080399040683,0,tiny_realdata_policy_reader_diagnostic
