case_type,dataset,qid,question,selected_action,train_best_action,policy_reward,train_best_reward,oracle_reward,policy_top_docs,train_best_top_docs,gold_docs,policy_queries
policy_uses_hybrid,scifact,517,High levels of copeptin decrease risk of diabetes.,hybrid_keyword,hybrid_keyword,-0.03,-0.03,0.0,19658917 | 20288322 | 32850528 | 25135304 | 30981192,19658917 | 20288322 | 32850528 | 25135304 | 30981192,15663829,high levels copeptin decrease risk diabetes
policy_beats_train_best,scifact,1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,bm25_keyword,hybrid_keyword,1.5,1.47,1.5,11369420 | 8427306 | 28614776 | 1617327 | 5765455,11369420 | 25832301 | 8427306 | 11951999 | 28614776,11369420,tetraspanin 3 causative factor development acute myelogenous leukemia
policy_avoids_hybrid,scifact,1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,bm25_keyword,hybrid_keyword,1.5,1.47,1.5,11369420 | 8427306 | 28614776 | 1617327 | 5765455,11369420 | 25832301 | 8427306 | 11951999 | 28614776,11369420,tetraspanin 3 causative factor development acute myelogenous leukemia
policy_beats_train_best,scifact,171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,bm25_keep,hybrid_keyword,1.5,1.47,1.5,12670680 | 14938990 | 28015516 | 28149602 | 5448119,12670680 | 28015516 | 28149602 | 5448119 | 14938990,12670680,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).
policy_avoids_hybrid,scifact,171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,bm25_keep,hybrid_keyword,1.5,1.47,1.5,12670680 | 14938990 | 28015516 | 28149602 | 5448119,12670680 | 28015516 | 28149602 | 5448119 | 14938990,12670680,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).
policy_beats_train_best,scifact,431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,dense_keep,hybrid_keyword,0.0,-0.03,0.0,14496749 | 2543135 | 19922508 | 16728949 | 29429111,19922508 | 14496749 | 2543135 | 10993232 | 22696649,28937856,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).
policy_uses_dense,scifact,431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,dense_keep,hybrid_keyword,0.0,-0.03,0.0,14496749 | 2543135 | 19922508 | 16728949 | 29429111,19922508 | 14496749 | 2543135 | 10993232 | 22696649,28937856,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).
policy_avoids_hybrid,scifact,431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,dense_keep,hybrid_keyword,0.0,-0.03,0.0,14496749 | 2543135 | 19922508 | 16728949 | 29429111,19922508 | 14496749 | 2543135 | 10993232 | 22696649,28937856,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).
policy_uses_hybrid,scifact,1088,Silencing of Bcl2 is important for the maintenance and progression of tumors.,hybrid_keyword,hybrid_keyword,1.22,1.22,1.5,11915280 | 37549932 | 4323425 | 5765455 | 11900630,11915280 | 37549932 | 4323425 | 5765455 | 11900630,37549932,silencing bcl2 important maintenance progression tumors
policy_uses_hybrid,scifact,127,Arginine 90 in p150n is important for interaction with EB1.,hybrid_keep,hybrid_keyword,1.47,1.47,1.5,21598000 | 35231675 | 293661 | 21943141 | 22938539,21598000 | 35231675 | 293661 | 22938539 | 15600979,21598000,Arginine 90 in p150n is important for interaction with EB1.
policy_uses_dense,scifact,1379,Women with a higher birth weight are more likely to develop breast cancer later in life.,dense_keep,hybrid_keyword,1.5,1.22,1.5,27123743 | 17450673 | 25973484 | 23557241 | 16322674,17450673 | 27123743 | 37480103 | 16322674 | 25973484,16322674 | 17450673 | 23557241 | 27123743,Women with a higher birth weight are more likely to develop breast cancer later in life.
policy_uses_dense,scifact,956,Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.,dense_keep,hybrid_keyword,1.5,1.47,1.5,12956194 | 3610282 | 3127341 | 16208091 | 25942757,12956194 | 3127341 | 31107919 | 3610282 | 16208091,12956194,Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.
