split,method,qid,question,action_trace,recall_at_5,mrr,ndcg_at_5,reward,cost,retrieval_calls,top_docs,gold_docs
train,Vanilla BM25,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,stop,1.0,1.0,1.0,1.5,0.0,1,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Rewrite-all keyword,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Iqbal F. Qadir | Dwarka | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Rewrite-all entity,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,entity_expand,1.0,1.0,1.0,1.47,0.03,2,Dwarka | Iqbal F. Qadir | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Train-best fixed trace,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Iqbal F. Qadir | Dwarka | Mukachevo Radar Station | Sevastopol Radar Station | NATO Ouvrage &quot;G&quot;,Dwarka | Iqbal F. Qadir
train,Multi-step FQI,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,stop,1.0,1.0,1.0,1.5,0.0,1,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Oracle two-step,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,stop,1.0,1.0,1.0,1.5,0.0,1,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Vanilla BM25,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,stop,0.5,1.0,0.6131471927654584,1.0,0.0,1,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli Two | Tivoli One,Tivoli Gardens | Tivolis Koncertsal
train,Rewrite-all keyword,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,keyword_compress,0.5,1.0,0.6131471927654584,0.98,0.02,2,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli One | Tivoli Two,Tivoli Gardens | Tivolis Koncertsal
train,Rewrite-all entity,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,entity_expand,0.5,1.0,0.6131471927654584,0.97,0.03,2,Tivolis Koncertsal | Tivoli One | Tivoli Two | Wait and See (album) | Pepper Tree Playfield,Tivoli Gardens | Tivolis Koncertsal
train,Train-best fixed trace,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,keyword_compress -> stop,0.5,1.0,0.6131471927654584,0.98,0.02,2,Tivolis Koncertsal | Pepper Tree Playfield | Taconic State Park – Copake Falls Area | Tivoli One | Tivoli Two,Tivoli Gardens | Tivolis Koncertsal
train,Multi-step FQI,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,decompose -> stop,1.0,1.0,0.8503449055347546,1.46,0.04,3,Tivolis Koncertsal | Taconic State Park – Copake Falls Area | Takino Suzuran Hillside National Government Park | Pepper Tree Playfield | Tivoli Gardens,Tivoli Gardens | Tivolis Koncertsal
train,Oracle two-step,5abca1a55542993a06baf937,When did the park at which Tivolis Koncertsal is located open?,decompose -> stop,1.0,1.0,0.8503449055347546,1.46,0.04,3,Tivolis Koncertsal | Taconic State Park – Copake Falls Area | Takino Suzuran Hillside National Government Park | Pepper Tree Playfield | Tivoli Gardens,Tivoli Gardens | Tivolis Koncertsal
train,Vanilla BM25,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Scout Tufankjian | KOKO-FM | Art Laboe | Chinese Australians | Indian Scout (motorcycle),Art Laboe | Scout Tufankjian
