dataset,group,target,semantic_depth,baseline_semantic_depth,n_pairs,train_r2_delta,test_r2_delta,test_corr_delta,active_columns_delta,width_delta,seed
nfcorpus,bias,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,embedding_projection,dense_advantage_vs_bm25,8,5,1,-8.4838082e-05,3.9461838e-05,0.034485931982,0.0,0.0,41
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,8,5,1,-9.620264e-06,-4.7563335e-05,0.063432828531,0.0,0.0,41
nfcorpus,embedding_projection,oracle_margin,8,5,1,-5.7226032e-05,8.502202e-06,0.022671436533,0.0,0.0,41
nfcorpus,embedding_projection,oracle_reward,8,5,1,-2.2715405e-05,4.1486374e-05,0.073338202811,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,1,-0.000286611309,-0.00090091642,0.000747348963,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,1,4.3081326e-05,-0.004302423919,-0.001603280123,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,oracle_margin,8,5,1,-0.051913131056,0.000568135753,0.006436334496,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,oracle_reward,8,5,1,0.000984016995,-0.003458985878,-0.009448305528,0.0,0.0,41
nfcorpus,query_form,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,query_form,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,query_form,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,query_form,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,8,5,1,0.010472425094,0.50564982564,0.064877097988,0.0,0.0,41
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,8,5,1,-0.062544977771,1.754319735637,0.041747787303,0.0,0.0,41
nfcorpus,semantic_rank_agreement,oracle_margin,8,5,1,0.15083848896,0.011175128437,0.455291993538,0.0,0.0,41
nfcorpus,semantic_rank_agreement,oracle_reward,8,5,1,0.1491941482,0.576545724495,0.392531164269,0.0,0.0,41
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,8,5,1,0.010706146223,0.008928727472,0.019145390508,6.0,6.0,41
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,8,5,1,0.013930342737,0.005496167742,-0.015852582135,6.0,6.0,41
nfcorpus,semantic_rank_profile,oracle_margin,8,5,1,0.022134812137,-0.000148031501,0.009406804404,6.0,6.0,41
nfcorpus,semantic_rank_profile,oracle_reward,8,5,1,0.010927881496,-0.00513692,-0.109222182663,6.0,6.0,41
nfcorpus,semantic_summary,dense_advantage_vs_bm25,8,5,1,-0.024286796112,0.01408031194,0.02708537425,0.0,0.0,41
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,8,5,1,-0.022048161865,0.029733756307,-5.9460962e-05,0.0,0.0,41
nfcorpus,semantic_summary,oracle_margin,8,5,1,-0.061267161598,-0.001524938217,-0.060463888299,0.0,0.0,41
nfcorpus,semantic_summary,oracle_reward,8,5,1,0.013196970735,0.010357899199,0.024979457421,0.0,0.0,41
nfcorpus,wh_word,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,wh_word,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,wh_word,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,wh_word,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,bias,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,bias,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,bias,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,embedding_projection,dense_advantage_vs_bm25,8,5,1,-0.000190055069,-6.5378205e-05,-0.013503181292,0.0,0.0,42
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,8,5,1,7.7422656e-05,-0.000209089382,-0.04842646587,0.0,0.0,42
nfcorpus,embedding_projection,oracle_margin,8,5,1,-5.9199471e-05,-0.000211192124,-0.060461214731,0.0,0.0,42
nfcorpus,embedding_projection,oracle_reward,8,5,1,-0.001032711781,-0.000658251291,-0.155324714048,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,1,-0.000298054093,0.000626196489,0.001078500773,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,1,-0.000666801226,0.0002939443,0.002010743574,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,oracle_margin,8,5,1,0.000157945751,3.6111386e-05,-0.000769062675,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,oracle_reward,8,5,1,-4.6596053e-05,-8.425867e-06,0.000404525643,0.0,0.0,42
nfcorpus,query_form,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,query_form,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,query_form,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,query_form,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,8,5,1,0.067411546083,-0.112665716273,-0.236927719176,0.0,0.0,42
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,8,5,1,0.117185097709,0.01468901079,-0.081954766785,0.0,0.0,42
nfcorpus,semantic_rank_agreement,oracle_margin,8,5,1,-0.064402531846,0.000780123631,0.008989981835,0.0,0.0,42
nfcorpus,semantic_rank_agreement,oracle_reward,8,5,1,0.051580929155,0.159226170996,0.268624943538,0.0,0.0,42
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,8,5,1,0.00387471362,0.001996479211,-0.019672182678,6.0,6.0,42
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,8,5,1,0.012458406615,-0.004505609143,-0.040742343602,6.0,6.0,42
nfcorpus,semantic_rank_profile,oracle_margin,8,5,1,0.013580880646,0.003554216605,0.056864236554,6.0,6.0,42
nfcorpus,semantic_rank_profile,oracle_reward,8,5,1,0.012447004606,0.003456239915,0.041003157995,6.0,6.0,42
nfcorpus,semantic_summary,dense_advantage_vs_bm25,8,5,1,-0.002343823001,-0.005070398013,0.002979242998,0.0,0.0,42
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,8,5,1,-0.00395661046,-0.003760829395,-0.001611026336,0.0,0.0,42
nfcorpus,semantic_summary,oracle_margin,8,5,1,0.000309264064,0.003900430188,0.062191193241,0.0,0.0,42
nfcorpus,semantic_summary,oracle_reward,8,5,1,0.001360631099,0.001251815707,0.01651783624,0.0,0.0,42
nfcorpus,wh_word,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,wh_word,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,wh_word,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,wh_word,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
